epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65597,1.13602,2.96092,1.09101,0.00525,1,0.95664,0.71003,0.77837,2.81824,0.85494,0.00051677,0.00051677,0.00051677
2,8.70813,1.02262,1.82387,1.02495,0.96959,0.3504,0.89184,0.57809,1.04351,2.42855,0.99975,0.00104674,0.00104674,0.00104674
3,12.2512,1.01982,1.60093,1.02647,0.70658,0.76744,0.75723,0.54207,0.97861,1.75546,1.08416,0.0015732,0.0015732,0.0015732
4,15.7933,1.05281,1.42216,1.03966,0.3608,0.45055,0.42951,0.28694,0.91988,2.26236,1.00628,0.0016505,0.0016505,0.0016505
5,19.4053,1.02048,1.28889,1.04461,0.8656,0.92308,0.92442,0.71916,0.88812,1.1304,1.03577,0.001645,0.001645,0.001645
6,22.9683,0.9583,1.13075,1.00409,0.89173,0.94505,0.94341,0.70718,0.9385,0.94598,1.10165,0.00163949,0.00163949,0.00163949
7,26.6579,0.94949,1.02774,1.01524,0.91975,0.95604,0.97644,0.75573,0.836,0.77216,0.98223,0.00163399,0.00163399,0.00163399
8,30.1168,0.98682,0.95241,1.03195,0.94374,0.97802,0.97187,0.74084,0.8433,0.98306,1.00032,0.00162849,0.00162849,0.00162849
9,33.5208,0.92283,0.82148,0.99576,0.90898,0.98766,0.9823,0.77514,0.80804,0.69508,0.97284,0.00162299,0.00162299,0.00162299
10,36.6062,0.89344,0.78934,0.97335,0.94554,0.95396,0.98067,0.78778,0.74802,0.63578,0.96228,0.00161749,0.00161749,0.00161749
11,39.6402,0.89633,0.76651,0.98631,0.94388,0.92308,0.95754,0.75939,0.77319,0.69738,0.94392,0.00161199,0.00161199,0.00161199
12,42.8402,0.89507,0.74099,0.99277,0.89824,0.89011,0.92472,0.75641,0.75486,0.75836,0.94807,0.00160649,0.00160649,0.00160649
13,45.9861,0.85807,0.68575,0.97251,0.95555,0.98901,0.98893,0.81533,0.73148,0.60403,0.93973,0.00160099,0.00160099,0.00160099
14,48.9961,0.84693,0.657,0.98188,0.91831,1,0.97636,0.79694,0.75266,0.57211,0.95383,0.00159549,0.00159549,0.00159549
15,51.9962,0.88378,0.67977,0.98203,0.92052,0.96703,0.96708,0.79092,0.75075,0.86119,0.94025,0.00158998,0.00158998,0.00158998
16,55.2229,0.8674,0.63684,0.99031,0.95339,0.94505,0.96268,0.79342,0.67977,0.61894,0.92456,0.00158448,0.00158448,0.00158448
17,58.3454,0.80036,0.58415,0.95273,0.95023,1,0.98569,0.83104,0.65236,0.46579,0.91234,0.00157898,0.00157898,0.00157898
18,61.4551,0.8187,0.59423,0.97181,0.93344,0.96703,0.9695,0.79865,0.7002,0.5043,0.91724,0.00157348,0.00157348,0.00157348
19,64.4726,0.84453,0.60147,0.96683,0.96553,0.93407,0.96848,0.80596,0.69595,0.53519,0.92931,0.00156798,0.00156798,0.00156798
20,67.5605,0.82606,0.58599,0.96955,0.8661,0.9951,0.94403,0.77114,0.7272,0.70656,0.96445,0.00156248,0.00156248,0.00156248
21,70.7562,0.83694,0.57853,0.95364,0.94902,0.98901,0.96994,0.80682,0.66899,0.48732,0.92696,0.00155698,0.00155698,0.00155698
22,73.8497,0.83109,0.58025,0.96331,0.95182,1,0.98152,0.81978,0.69607,0.47477,0.91253,0.00155148,0.00155148,0.00155148
23,76.7493,0.80124,0.55179,0.95588,0.93633,0.96703,0.96754,0.81177,0.6763,0.50998,0.92109,0.00154598,0.00154598,0.00154598
24,79.8113,0.79699,0.5376,0.95564,0.90832,0.97983,0.96796,0.81119,0.68557,0.54474,0.9095,0.00154047,0.00154047,0.00154047
25,82.8444,0.8063,0.54086,0.95857,0.95537,0.97802,0.95967,0.79269,0.7247,0.55571,0.93181,0.00153497,0.00153497,0.00153497
26,85.9149,0.81422,0.55507,0.95398,0.94785,0.99868,0.96981,0.80446,0.70004,0.5268,0.92214,0.00152947,0.00152947,0.00152947
27,88.8552,0.79102,0.52612,0.94478,0.95039,0.91209,0.93693,0.76456,0.6897,0.56329,0.91443,0.00152397,0.00152397,0.00152397
28,91.8373,0.80449,0.55699,0.94951,0.93606,1,0.97928,0.82488,0.65575,0.4962,0.92112,0.00151847,0.00151847,0.00151847
29,94.9983,0.7578,0.51243,0.93924,0.94789,0.99938,0.97999,0.82983,0.6397,0.49404,0.91287,0.00151297,0.00151297,0.00151297
30,98.2481,0.78595,0.52555,0.96169,0.97627,0.97802,0.98873,0.84214,0.66052,0.44726,0.92243,0.00150747,0.00150747,0.00150747
31,101.378,0.77916,0.52638,0.96082,0.91829,0.98797,0.97557,0.82017,0.66631,0.45166,0.93688,0.00150197,0.00150197,0.00150197
32,104.439,0.77572,0.50492,0.96069,0.8969,1,0.97985,0.79796,0.72151,0.51299,0.97721,0.00149647,0.00149647,0.00149647
33,107.62,0.76339,0.49967,0.93856,0.93329,0.98901,0.96856,0.82421,0.63132,0.47155,0.91019,0.00149096,0.00149096,0.00149096
34,110.854,0.76972,0.51727,0.95042,0.95645,0.98901,0.98613,0.8444,0.63854,0.42132,0.89897,0.00148546,0.00148546,0.00148546
35,113.918,0.75873,0.49613,0.93645,0.95758,1,0.9834,0.82674,0.65551,0.42889,0.90598,0.00147996,0.00147996,0.00147996
36,116.836,0.76464,0.51117,0.94684,0.95233,1,0.98562,0.81908,0.68723,0.45383,0.91796,0.00147446,0.00147446,0.00147446
37,119.838,0.76044,0.49542,0.95777,0.94594,0.98901,0.98485,0.80945,0.68835,0.42674,0.92243,0.00146896,0.00146896,0.00146896
38,122.974,0.73871,0.47938,0.95116,0.94687,1,0.97899,0.82262,0.65514,0.43604,0.9156,0.00146346,0.00146346,0.00146346
39,126.1,0.77346,0.51058,0.9464,0.95644,0.98901,0.95853,0.79641,0.6854,0.44758,0.92165,0.00145796,0.00145796,0.00145796
40,128.999,0.75831,0.47762,0.94638,0.96502,0.98901,0.97935,0.81635,0.65757,0.41971,0.91501,0.00145246,0.00145246,0.00145246
41,131.985,0.74271,0.50075,0.94452,0.91772,1,0.95484,0.79762,0.64774,0.46356,0.91389,0.00144696,0.00144696,0.00144696
42,135.159,0.74261,0.47797,0.93037,0.95681,0.97386,0.97972,0.83214,0.63116,0.46058,0.91799,0.00144145,0.00144145,0.00144145
43,138.293,0.75332,0.49342,0.937,0.95741,1,0.97774,0.82651,0.67787,0.44401,0.91958,0.00143595,0.00143595,0.00143595
44,141.433,0.72763,0.45653,0.94901,0.96563,0.97802,0.98288,0.80535,0.67719,0.43521,0.92174,0.00143045,0.00143045,0.00143045
45,144.479,0.74304,0.47305,0.9482,0.95394,0.98901,0.97256,0.82188,0.66153,0.44626,0.91231,0.00142495,0.00142495,0.00142495
46,147.788,0.72126,0.44784,0.93138,0.94619,0.97802,0.96528,0.82153,0.62443,0.41464,0.8971,0.00141945,0.00141945,0.00141945
47,151.002,0.74216,0.46469,0.93782,0.95385,0.98901,0.97458,0.82336,0.63858,0.42988,0.90753,0.00141395,0.00141395,0.00141395
48,154.022,0.71292,0.44779,0.92881,0.92565,1,0.98412,0.81641,0.71011,0.43837,0.93032,0.00140845,0.00140845,0.00140845
49,156.999,0.73151,0.46332,0.92986,0.96756,0.98333,0.98483,0.81346,0.66868,0.41697,0.91121,0.00140295,0.00140295,0.00140295
50,159.986,0.72819,0.45118,0.94173,0.94706,0.98901,0.95827,0.8068,0.66945,0.4219,0.91712,0.00139745,0.00139745,0.00139745
51,163.005,0.7317,0.47112,0.94017,0.94962,1,0.98747,0.8206,0.67148,0.41562,0.91151,0.00139195,0.00139195,0.00139195
52,166.047,0.73149,0.46251,0.94362,0.94226,0.98901,0.98615,0.83128,0.64497,0.40743,0.90371,0.00138644,0.00138644,0.00138644
